DMosler   20220520130447
Knee EXT/FLEX UNI ISOK CON/CON 500/500 deg/s   Filtered: Yes   Windowed: Yes
  Set  Rep      mSec      TORQUE    POSITION  POS_(ANAT)    VELOCITY
    1    4      3840         0.0        93.5        20.5         0.0
    1    4      3850         0.0        93.4        20.4         0.0
    1    4      3860         0.0        93.2        20.2         0.0
    1    4      3870         0.0        93.1        20.1         0.0
    1    4      3880         0.0        93.0        20.0         0.0
    1    4      3890         0.0        92.9        19.9         0.0
    1    4      3900         0.0        92.8        19.8         0.0
    1    4      3910         0.0        92.7        19.7         0.0
    1    4      3920         0.0        92.7        19.7         0.0
    1    4      3930         0.0        92.7        19.7         0.0
    1    4      3940         0.0        92.8        19.8         0.0
    1    4      3950         0.0        93.0        20.0         0.0
    1    4      3960         0.0        93.3        20.3         0.0
    1    4      3970         0.0        93.8        20.8         0.0
    1    4      3980         0.0        94.5        21.5         0.0
    1    4      3990         0.0        95.3        22.3         0.0
    1    4      4000         0.0        96.3        23.3         0.0
    1    4      4010         0.0        97.4        24.4         0.0
    1    4      4020         0.0        98.8        25.8         0.0
    1    4      4030         0.0       100.5        27.5         0.0
    1    4      4040         0.0       102.4        29.4         0.0
    1    4      4050         0.0       104.6        31.6         0.0
    1    4      4060         0.0       107.1        34.1         0.0
    1    4      4070        -1.4       109.9        36.9       -20.4
    1    4      4080        -2.6       112.7        39.7       -42.4
    1    4      4090        -4.9       115.8        42.8       -86.0
    1    4      4100        -8.4       119.2        46.2      -152.7
    1    4      4110       -13.6       122.8        49.8      -242.5
    1    4      4120       -18.8       126.7        53.7      -313.3
    1    4      4130       -25.1       130.8        57.8      -362.3
    1    4      4140       -27.4       135.1        62.1      -367.1
    1    4      4150       -34.4       139.5        66.5      -363.3
    1    4      4160       -38.1       143.5        70.5      -312.4
    1    4      4170       -36.2       147.2        74.2      -239.7
    1    4      4180       -24.9       150.4        77.4      -150.9
    1    4      4190       -15.5       153.3        80.3       -85.2
    1    4      4200         0.0       155.9        82.9       -41.3
    1    4      4210         0.0       158.2        85.2       -19.6
    1    4      4220         0.0       160.3        87.3         0.0
    1    4      4230         0.0       162.1        89.1         0.0
    1    4      4240         0.0       163.7        90.7         0.0
    1    4      4250         0.0       165.2        92.2         0.0
    1    4      4260         0.0       166.5        93.5         0.0
    1    4      4270         0.0       167.6        94.6         0.0
    1    4      4280         0.0       168.7        95.7         0.0
    1    4      4290         0.0       169.6        96.6         0.0
    1    4      4300         0.0       170.4        97.4         0.0
    1    4      4310         0.0       171.2        98.2         0.0
    1    4      4320         0.0       171.8        98.8         0.0
    1    4      4330         0.0       172.4        99.4         0.0
    1    4      4340         0.0       172.9        99.9         0.0
    1    4      4350         0.0       173.4       100.4         0.0
    1    4      4360         0.0       173.8       100.8         0.0
    1    4      4370         0.0       174.1       101.1         0.0
    1    4      4380         0.0       174.5       101.5         0.0
    1    4      4390         0.0       174.8       101.8         0.0
    1    4      4400         0.0       175.0       102.0         0.0
    1    4      4410         0.0       175.2       102.2         0.0
    1    4      4420         0.0       175.4       102.4         0.0
    1    4      4430         0.0       175.6       102.6         0.0
    1    4      4440         0.0       175.8       102.8         0.0
    1    4      4450         0.0       175.9       102.9         0.0
    1    4      4460         0.0       176.0       103.0         0.0
    1    4      4470         0.0       176.1       103.1         0.0
    1    4      4480         0.0       176.2       103.2         0.0
    1    4      4490         0.0       176.2       103.2         0.0
    1    4      4500         0.0       176.2       103.2         0.0
    1    -      4510         0.0       176.0       103.0         0.0
    1    -      4520         0.0       175.5       102.5         0.0
    1    5      4530         0.0       174.6       101.6         0.0
    1    5      4540         0.0       173.4       100.4         0.0
    1    5      4550         0.0       171.8        98.8         0.0
